holc_grade,id,N_samples,City,City_state
A,CA_Los Angeles_A35_A_263,792,Los Angeles,"Los Angeles, CA"
A,CA_Los Angeles_A36_A_264,62,Los Angeles,"Los Angeles, CA"
A,CA_Los Angeles_A37_A_265,6078,Los Angeles,"Los Angeles, CA"
A,CA_Los Angeles_A38_A_266,157,Los Angeles,"Los Angeles, CA"
A,CA_Los Angeles_A38_A_267,275,Los Angeles,"Los Angeles, CA"
A,CA_Los Angeles_A39_A_268,12,Los Angeles,"Los Angeles, CA"
A,CA_Los Angeles_A4_A_269,22559,Los Angeles,"Los Angeles, CA"
A,CA_Los Angeles_A40_A_270,420,Los Angeles,"Los Angeles, CA"
A,CA_Los Angeles_A41_A_271,4726,Los Angeles,"Los Angeles, CA"
A,CA_Los Angeles_A42_A_272,78,Los Angeles,"Los Angeles, CA"
A,CA_Los Angeles_A43_A_273,2582,Los Angeles,"Los Angeles, CA"
A,CA_Los Angeles_A46_A_274,600,Los Angeles,"Los Angeles, CA"
A,CA_Los Angeles_A47_A_275,50,Los Angeles,"Los Angeles, CA"
A,CA_Los Angeles_A48_A_276,8,Los Angeles,"Los Angeles, CA"
A,CA_Los Angeles_A49_A_277,2,Los Angeles,"Los Angeles, CA"
A,CA_Los Angeles_A5_A_278,181,Los Angeles,"Los Angeles, CA"
A,CA_Los Angeles_A50_A_279,9,Los Angeles,"Los Angeles, CA"
A,CA_Los Angeles_A51_A_280,57,Los Angeles,"Los Angeles, CA"
A,CA_Los Angeles_A52_A_281,248,Los Angeles,"Los Angeles, CA"
A,CA_Los Angeles_A53_A_282,17,Los Angeles,"Los Angeles, CA"
A,CA_Los Angeles_A54_A_283,4,Los Angeles,"Los Angeles, CA"
A,CA_Los Angeles_A55_A_284,740,Los Angeles,"Los Angeles, CA"
A,CA_Los Angeles_A56_A_285,353,Los Angeles,"Los Angeles, CA"
A,CA_Los Angeles_A58_A_286,155,Los Angeles,"Los Angeles, CA"
A,CA_Los Angeles_A59_A_287,17452,Los Angeles,"Los Angeles, CA"
A,CA_Los Angeles_A6_A_288,732,Los Angeles,"Los Angeles, CA"
A,CA_Los Angeles_A60_A_289,685,Los Angeles,"Los Angeles, CA"
A,CA_Los Angeles_A7_A_290,200,Los Angeles,"Los Angeles, CA"
A,CA_Los Angeles_A8_A_291,5696,Los Angeles,"Los Angeles, CA"
A,CA_Los Angeles_A9_A_292,6231,Los Angeles,"Los Angeles, CA"
B,CA_Los Angeles_B1_B_293,3,Los Angeles,"Los Angeles, CA"
B,CA_Los Angeles_B10_B_294,120,Los Angeles,"Los Angeles, CA"
B,CA_Los Angeles_B100_B_295,40,Los Angeles,"Los Angeles, CA"
B,CA_Los Angeles_B101_B_296,289,Los Angeles,"Los Angeles, CA"
B,CA_Los Angeles_B102_B_297,13,Los Angeles,"Los Angeles, CA"
B,CA_Los Angeles_B103_B_298,48,Los Angeles,"Los Angeles, CA"
B,CA_Los Angeles_B104_B_299,16,Los Angeles,"Los Angeles, CA"
B,CA_Los Angeles_B105_B_300,44,Los Angeles,"Los Angeles, CA"
B,CA_Los Angeles_B106_B_301,1760,Los Angeles,"Los Angeles, CA"
B,CA_Los Angeles_B107_B_302,46,Los Angeles,"Los Angeles, CA"
B,CA_Los Angeles_B108_B_303,1,Los Angeles,"Los Angeles, CA"
B,CA_Los Angeles_B109_B_304,36,Los Angeles,"Los Angeles, CA"
B,CA_Los Angeles_B11_B_305,585,Los Angeles,"Los Angeles, CA"
B,CA_Los Angeles_B110_B_306,4,Los Angeles,"Los Angeles, CA"
B,CA_Los Angeles_B111_B_307,31,Los Angeles,"Los Angeles, CA"
B,CA_Los Angeles_B112_B_308,4,Los Angeles,"Los Angeles, CA"
B,CA_Los Angeles_B113_B_309,4,Los Angeles,"Los Angeles, CA"
B,CA_Los Angeles_B114_B_310,44,Los Angeles,"Los Angeles, CA"
B,CA_Los Angeles_B115_B_311,1356,Los Angeles,"Los Angeles, CA"
B,CA_Los Angeles_B116_B_312,41,Los Angeles,"Los Angeles, CA"
B,CA_Los Angeles_B117_B_313,2608,Los Angeles,"Los Angeles, CA"
B,CA_Los Angeles_B118_B_314,6303,Los Angeles,"Los Angeles, CA"
B,CA_Los Angeles_B119_B_315,3,Los Angeles,"Los Angeles, CA"
B,CA_Los Angeles_B119_B_316,46,Los Angeles,"Los Angeles, CA"
B,CA_Los Angeles_B12_B_317,186,Los Angeles,"Los Angeles, CA"
B,CA_Los Angeles_B120_B_318,100,Los Angeles,"Los Angeles, CA"
B,CA_Los Angeles_B121_B_319,159,Los Angeles,"Los Angeles, CA"
B,CA_Los Angeles_B122_B_320,49,Los Angeles,"Los Angeles, CA"
B,CA_Los Angeles_B13_B_321,432,Los Angeles,"Los Angeles, CA"
B,CA_Los Angeles_B14_B_322,629,Los Angeles,"Los Angeles, CA"
B,CA_Los Angeles_B15_B_323,450,Los Angeles,"Los Angeles, CA"
B,CA_Los Angeles_B16_B_324,3405,Los Angeles,"Los Angeles, CA"
B,CA_Los Angeles_B17_B_325,171,Los Angeles,"Los Angeles, CA"
B,CA_Los Angeles_B18_B_326,32,Los Angeles,"Los Angeles, CA"
B,CA_Los Angeles_B19_B_327,210,Los Angeles,"Los Angeles, CA"
B,CA_Los Angeles_B2_B_328,27,Los Angeles,"Los Angeles, CA"
B,CA_Los Angeles_B20_B_329,25,Los Angeles,"Los Angeles, CA"
B,CA_Los Angeles_B21_B_330,304,Los Angeles,"Los Angeles, CA"
B,CA_Los Angeles_B22_B_331,156,Los Angeles,"Los Angeles, CA"
B,CA_Los Angeles_B23_B_332,666,Los Angeles,"Los Angeles, CA"
B,CA_Los Angeles_B24_B_333,133,Los Angeles,"Los Angeles, CA"
B,CA_Los Angeles_B25_B_334,2489,Los Angeles,"Los Angeles, CA"
B,CA_Los Angeles_B26_B_335,7006,Los Angeles,"Los Angeles, CA"
B,CA_Los Angeles_B27_B_336,361,Los Angeles,"Los Angeles, CA"
B,CA_Los Angeles_B28_B_337,1135,Los Angeles,"Los Angeles, CA"
B,CA_Los Angeles_B29_B_338,419,Los Angeles,"Los Angeles, CA"
B,CA_Los Angeles_B3_B_339,875,Los Angeles,"Los Angeles, CA"
B,CA_Los Angeles_B30_B_340,908,Los Angeles,"Los Angeles, CA"
B,CA_Los Angeles_B31_B_341,1384,Los Angeles,"Los Angeles, CA"
B,CA_Los Angeles_B32_B_342,290,Los Angeles,"Los Angeles, CA"
B,CA_Los Angeles_B33_B_343,21703,Los Angeles,"Los Angeles, CA"
B,CA_Los Angeles_B34_B_344,14600,Los Angeles,"Los Angeles, CA"
B,CA_Los Angeles_B35_B_345,1493,Los Angeles,"Los Angeles, CA"
B,CA_Los Angeles_B36_B_346,848,Los Angeles,"Los Angeles, CA"
B,CA_Los Angeles_B37_B_347,259,Los Angeles,"Los Angeles, CA"
B,CA_Los Angeles_B38_B_348,54,Los Angeles,"Los Angeles, CA"
B,CA_Los Angeles_B39_B_349,31063,Los Angeles,"Los Angeles, CA"
B,CA_Los Angeles_B4_B_350,23,Los Angeles,"Los Angeles, CA"
B,CA_Los Angeles_B40_B_351,8030,Los Angeles,"Los Angeles, CA"
B,CA_Los Angeles_B41_B_352,192,Los Angeles,"Los Angeles, CA"
B,CA_Los Angeles_B42_B_353,496,Los Angeles,"Los Angeles, CA"
B,CA_Los Angeles_B43_B_354,15,Los Angeles,"Los Angeles, CA"
B,CA_Los Angeles_B44_B_355,1887,Los Angeles,"Los Angeles, CA"
B,CA_Los Angeles_B45_B_356,456,Los Angeles,"Los Angeles, CA"
B,CA_Los Angeles_B46_B_357,2135,Los Angeles,"Los Angeles, CA"
B,CA_Los Angeles_B47_B_358,221,Los Angeles,"Los Angeles, CA"
B,CA_Los Angeles_B48_B_359,31,Los Angeles,"Los Angeles, CA"
B,CA_Los Angeles_B49_B_360,138,Los Angeles,"Los Angeles, CA"
B,CA_Los Angeles_B5_B_361,42,Los Angeles,"Los Angeles, CA"
B,CA_Los Angeles_B50_B_362,13,Los Angeles,"Los Angeles, CA"
B,CA_Los Angeles_B51_B_363,970,Los Angeles,"Los Angeles, CA"
B,CA_Los Angeles_B52_B_364,60,Los Angeles,"Los Angeles, CA"
B,CA_Los Angeles_B53_B_365,272,Los Angeles,"Los Angeles, CA"
B,CA_Los Angeles_B54_B_366,1343,Los Angeles,"Los Angeles, CA"
B,CA_Los Angeles_B55_B_367,86,Los Angeles,"Los Angeles, CA"
B,CA_Los Angeles_B57_B_368,7,Los Angeles,"Los Angeles, CA"
B,CA_Los Angeles_B58_B_369,787,Los Angeles,"Los Angeles, CA"
B,CA_Los Angeles_B59_B_370,182,Los Angeles,"Los Angeles, CA"
B,CA_Los Angeles_B6_B_371,104,Los Angeles,"Los Angeles, CA"
B,CA_Los Angeles_B60_B_372,6,Los Angeles,"Los Angeles, CA"
B,CA_Los Angeles_B61_B_373,47,Los Angeles,"Los Angeles, CA"
B,CA_Los Angeles_B62_B_374,163,Los Angeles,"Los Angeles, CA"
B,CA_Los Angeles_B63_B_375,51,Los Angeles,"Los Angeles, CA"
B,CA_Los Angeles_B64_B_376,255,Los Angeles,"Los Angeles, CA"
