id,area_holc_m2,area_pa,percent_pa
AL_Birmingham_D9_D_70,2219860.7174550463,23071.823129564524,1.0397382054546913
AL_Mobile_A1_A_71,16630.18950922521,0,0
AL_Mobile_A2_A_72,33024.06892475837,0,0
AL_Mobile_A3_A_73,52671.15104990522,0,0
AL_Mobile_A4_A_74,12942.114172877209,0,0
AL_Mobile_A5_A_75,45200.945444410456,0,0
AL_Mobile_A6_A_76,31123.613042933714,0,0
AL_Mobile_B1_B_77,220815.90578093348,0,0
AL_Mobile_B2_B_78,86866.72870679446,0,0
AL_Mobile_B3_B_79,195953.3207347854,0,0
AL_Mobile_B4_B_80,259125.85806912908,0,0
AL_Mobile_B5_B_81,78326.12799306042,0,0
AL_Mobile_B6_B_82,97724.77646914202,0,0
AL_Mobile_B6_B_83,11879.315462496525,0,0
AL_Mobile_B7_B_84,56365.069736502606,0,0
AL_Mobile_B8_B_85,111029.02548822209,0,0
AL_Mobile_C1_C_86,655409.3860245271,931.7281824008096,0.14229983889466677
AL_Mobile_C2_C_87,1173765.7132314327,0,0
AL_Mobile_C3_C_88,2234686.039529654,35434.622211408365,1.5872340435226042
AL_Mobile_C4_C_89,685534.1940396402,11866.22870531174,1.732674911419477
AL_Mobile_C5_C_90,390779.44853121426,22858.447771649808,5.855255930112335
AL_Mobile_C6_C_91,1182831.0765679176,2924.6698161863023,0.2475059037113312
AL_Mobile_C7_C_92,105612.86225850118,0,0
AL_Mobile_C7_C_93,92226.33064107115,0,0
AL_Mobile_C7_C_94,553592.126174731,0,0
AL_Mobile_D1_D_95,723064.6180968969,1721.5776999196387,0.23833203093344893
AL_Mobile_D2_D_96,263823.0242635776,0,0
AL_Mobile_D2_D_97,264080.6011815408,0,0
AL_Mobile_D2_D_98,658525.0034168779,2868.744186220152,0.43606394186696124
AL_Mobile_D2_D_99,47626.002994627,0,0
AL_Mobile_D3_D_100,325824.63701989007,1124.9612737921998,0.3456122592173559
AL_Mobile_D4_D_101,1229337.346371166,9651.26032337977,0.7858603065501217
AL_Mobile_D5_D_102,2166162.3487793314,116923.267110016,5.403081867649044
AL_Mobile_D6_D_103,12773.725644295253,0,0
AL_Mobile_D6_D_104,68899.52163378756,0,0
AL_Mobile_D6_D_105,111459.32437434417,0,0
AL_Mobile_D6_D_106,14261.472821247648,0,0
AL_Mobile_D6_D_107,97048.91592719081,0,0
AL_Mobile_D6_D_108,229854.41581651327,660.3906379071996,0.28759227451507385
AL_Mobile_D6_D_109,3422698.9356958927,8877.220763305202,0.2596191058481689
AL_Mobile_NA_B_110,14512.346721231232,0,0
AL_Mobile_NA_B_111,29710.524579540186,0,0
AL_Mobile_NA_B_112,32232.351315589207,0,0
AL_Mobile_NA_B_113,60096.11257789261,0,0
AL_Mobile_NA_B_116,51199.656898362715,0,0
AL_Mobile_NA_B_117,96138.88664235773,8797.510103679124,9.159864169072417
AL_Mobile_NA_C_114,21093.190703938362,0,0
AL_Mobile_NA_C_115,50040.84827439817,0,0
AL_Montgomery_A1_A_118,2519891.330080535,25833.072464801837,1.0258267793488798
AL_Montgomery_A2_A_119,363103.2149105772,13174.451654963195,3.630587534149842
AL_Montgomery_A3_A_120,150831.26774587308,0,0
AL_Montgomery_A3_A_121,83290.77436758086,0,0
AL_Montgomery_B1_B_122,192552.55170018505,0,0
AL_Montgomery_B2_B_123,359266.42307358823,0,0
AL_Montgomery_B3_B_124,1411885.8085517192,0,0
AL_Montgomery_B3_B_125,1238438.8715939925,0,0
AL_Montgomery_C1_C_126,6043444.816266113,63686.894764827564,1.0544910140081643
AL_Montgomery_C2_C_127,619724.979695978,0,0
AL_Montgomery_C3_C_128,2623812.169284201,21196.25515127182,0.8083591458174753
AL_Montgomery_C4_C_129,78598.19943745631,0,0
AL_Montgomery_C4_C_130,551684.6647322695,0,0
AL_Montgomery_C5_C_131,842278.8015116635,0,0
AL_Montgomery_C6_C_132,721006.5281567913,0,0
