year,holc_grade,N_samples
2018,C,1
2019,C,4
2021,C,1
1972,C,1
2010,C,90
2011,C,29
2012,C,50
2013,C,26
2014,C,46
2015,C,1
2017,C,3
2018,C,7
2019,C,14
2020,C,14
2016,C,1
2020,C,16
2021,C,5
1963,C,1
2021,C,1
1998,C,5
2004,C,25
2005,C,57
2006,C,77
2007,C,31
2008,C,72
2009,C,116
2010,C,116
2011,C,22
2012,C,9
2013,C,1
2015,C,4
2018,C,44
2019,C,14
2020,C,41
2021,C,9
1962,C,2
2021,C,2
2015,D,1
2016,D,2
2017,D,1
2018,D,4
2019,D,1
2020,D,7
2018,D,4
2020,D,1
2017,D,3
2018,D,5
2022,D,2
2008,D,1
2013,D,5
2018,D,2
2020,D,3
2019,D,1
2021,D,33
2016,D,2
2017,D,1
2013,D,5
2014,D,7
2015,D,8
2019,D,2
2020,D,1
2007,D,1
2012,D,1
2018,D,1
2021,D,6
2013,D,3
2014,D,4
2015,D,5
2016,D,1
2017,D,1
2018,D,1
2021,D,3
1962,D,1
1963,D,4
2019,D,1
2018,D,2
2021,D,1
2008,D,13
2009,D,9
2013,D,1
2015,D,1
2019,D,8
2021,D,15
2019,D,2
2021,D,1
1998,D,27
2001,D,5
2002,D,15
2003,D,1
2008,D,25
2009,D,6
2019,D,36
2020,D,37
2021,D,23
2011,D,1
2013,D,2
2020,D,7
2021,D,26
1938,D,1
1965,D,1
1986,D,1
2009,D,1
2017,D,1
2011,A,218
2014,A,14
2015,A,3
2017,A,12
2018,A,10
2019,A,6
2020,A,12
2021,A,16
2015,A,22
2016,A,1
2019,A,12
2020,A,64
2021,A,263
2014,A,1
2015,A,30
2016,A,1
2017,A,8
2018,A,1
2020,A,1
2021,A,2
2022,A,1
1999,A,58
2000,A,234
2001,A,88
2002,A,44
2003,A,41
2004,A,31
2005,A,13
2006,A,50
2007,A,33
2008,A,69
2009,A,80
2010,A,1
2011,A,234
2012,A,75
2013,A,1049
2014,A,1517
2015,A,1544
2016,A,1468
2017,A,2392
2018,A,2541
2019,A,4764
2020,A,3487
2021,A,3649
2022,A,4
1997,A,8
2002,A,1
2013,A,13
2014,A,16
2015,A,30
2016,A,15
2017,A,64
2018,A,159
2019,A,166
2020,A,447
2021,A,254
2022,A,1
2010,A,3
2011,A,36
2012,A,55
2013,A,2
2014,A,14
2016,A,9
2017,A,1
2018,A,3
2019,A,22
2020,A,6
2021,A,56
2022,A,3
2012,B,6
2016,B,5
2017,B,20
2018,B,95
2019,B,46
2020,B,198
2021,B,30
2014,B,12
2015,B,3
2016,B,18
2021,B,1
2012,B,459
2013,B,647
2014,B,672
2015,B,673
2016,B,369
2017,B,373
2018,B,227
2019,B,180
2020,B,217
2021,B,186
1986,B,2
2016,B,1
2017,B,2
2018,B,8
2019,B,68
2020,B,154
2021,B,145
2013,B,4
2015,B,22
2016,B,12
2017,B,41
2019,B,37
2020,B,1
2021,B,19
2022,B,1
2001,B,1
2002,B,2
2011,B,1
2012,B,12
2013,B,8
2014,B,59
2015,B,43
2016,B,26
2017,B,33
2018,B,75
2019,B,73
2020,B,147
2021,B,62
2013,B,2
2019,B,4
2020,B,108
2021,B,44
1998,B,19
2004,B,3
2006,B,25
2007,B,56
2010,B,40
2011,B,212
2012,B,12
2013,B,4
2014,B,4
2015,B,28
2016,B,49
2017,B,10
2018,B,8
2019,B,4
2020,B,15
2021,B,5
2008,B,1
2010,B,13
2012,B,1
2013,B,14
2014,B,17
2015,B,15
2016,B,151
2017,B,1653
2018,B,2625
2019,B,2553
2020,B,3338
2021,B,2517
2022,B,4
2004,B,10
2005,B,4
2006,B,13
2007,B,30
2008,B,13
2010,B,12
2011,B,26
2012,B,6
2013,B,15
2014,B,45
2015,B,35
2016,B,17
2017,B,17
2018,B,807
2019,B,674
2020,B,1171
2021,B,1002
2011,B,2
2012,B,45
2013,B,382
2014,B,623
2015,B,71
2016,B,77
2017,B,29
2018,B,94
2019,B,95
2020,B,77
2021,B,85
2012,B,19
2020,B,16
2021,B,18
2013,B,5
2014,B,14
2016,B,25
2018,B,9
2019,B,8
2020,B,264
2021,B,98
2022,B,1
2016,B,3
2017,B,11
2019,B,69
2020,B,35
2021,B,8
2022,B,1
2000,B,24
2001,B,24
2002,B,29
2004,B,15
2013,B,1
2019,B,4
2021,B,1
2014,B,20
2015,B,19
2016,B,2
2017,B,6
2018,B,12
2019,B,39
2020,B,5
2021,B,3
2020,B,2
2021,B,1
1974,B,3
2009,B,1
2010,B,58
2011,B,543
2012,B,540
2013,B,374
2014,B,800
2015,B,1166
2016,B,1158
2017,B,3728
2018,B,1951
2019,B,4542
2020,B,7295
2021,B,8350
2022,B,2
2002,B,6
2008,B,2
2009,B,1
2010,B,4
2011,B,2
2017,B,1
2019,B,10
2020,B,9
2021,B,10
2006,B,3
2007,B,23
2008,B,4
2009,B,22
2011,B,14
2012,B,1
2013,B,3
2014,B,4
2016,B,13
2017,B,11
2018,B,10
2019,B,2
2020,B,1
2021,B,5
2017,B,29
2019,B,22
2020,B,22
2021,B,20
2004,C,30
2006,C,12
2012,C,5
2018,C,1
2019,C,8
2020,C,10
2011,C,20
2016,C,6
2019,C,2
2020,C,2
2021,C,1
2013,C,10
2014,C,3
2015,C,21
2017,C,9
2020,C,8
2021,C,11
2008,C,34
2011,C,11
2012,C,181
2013,C,290
2014,C,120
2015,C,7
2016,C,100
2017,C,170
2018,C,168
2019,C,193
2020,C,309
2021,C,236
2013,C,1
2014,C,4
2015,C,2
2016,C,6
2017,C,7
2018,C,9
2019,C,48
2020,C,35
2021,C,1914
1998,C,1
2000,C,73
2001,C,4
2002,C,26
2003,C,14
2005,C,16
2006,C,8
2008,C,8
2009,C,5
2012,C,3
2013,C,26
2014,C,4
2015,C,15
2016,C,20
2017,C,6
2018,C,1
2019,C,48
2020,C,62
2021,C,45
2022,C,1
2008,C,1
2010,C,3
2014,C,10
2016,C,2
2018,C,1
2020,C,3
2009,C,1
2010,C,3
2011,C,155
2012,C,362
2013,C,439
2014,C,307
2015,C,315
2016,C,411
2017,C,199
2018,C,408
2019,C,436
2020,C,365
2021,C,214
2017,C,102
2018,C,23
2019,C,3
2020,C,18
2021,C,10
2009,C,2
2010,C,43
2011,C,135
2012,C,154
2013,C,105
2014,C,90
2015,C,25
2016,C,6
2017,C,4
2018,C,56
2019,C,35
2020,C,104
2021,C,44
2010,C,10
2011,C,1
2013,C,5
2015,C,6
2018,C,27
2019,C,5
2020,C,4
2021,C,25
2022,C,3
1977,C,1
1990,C,17
2002,C,1
2015,C,122
2016,C,85
2017,C,15
2019,C,2
2021,C,1
2008,C,27
2010,C,13
2011,C,7
2012,C,15
2013,C,15
2015,C,12
2016,C,6
2017,C,2
2014,C,11
2015,C,15
2017,C,4
2019,C,6
2020,C,270
2021,C,142
2022,C,1
2019,C,1
2022,C,1
2016,C,2
2020,C,1
2021,C,2
2014,C,1
2015,C,23
2018,C,23
2021,C,31
2014,C,12
2018,C,9
2019,C,5
2021,C,2
2012,C,2
2014,C,21
2016,C,4
2017,C,5
2020,C,4
2021,C,2
2015,C,7
2016,C,13
2017,C,7
2018,C,20
2021,C,56
2022,C,1
1967,C,72
1968,C,509
1969,C,836
1970,C,152
1971,C,4
2000,C,236
2001,C,19
2002,C,38
2004,C,28
2005,C,38
2006,C,24
2007,C,11
2008,C,115
2009,C,560
2010,C,1186
2011,C,1149
2012,C,692
2013,C,61
2014,C,128
2015,C,2
2016,C,7
2017,C,65
2018,C,374
2019,C,57
2020,C,101
2021,C,133
2022,C,1
1995,C,1
2007,C,15
2008,C,14
2009,C,99
2011,C,13
2012,C,67
2013,C,59
2014,C,177
2015,C,270
2016,C,269
2017,C,71
2018,C,284
2019,C,70
2020,C,150
2021,C,212
1991,C,66
1992,C,25
2002,C,6
2003,C,13
2004,C,15
2005,C,150
2006,C,2505
2007,C,73
2010,C,191
2011,C,739
2013,C,15
2014,C,27
2015,C,295
2016,C,173
2017,C,287
2018,C,144
2019,C,206
2020,C,405
2021,C,4346
2022,C,1
2010,C,1
2011,C,95
2012,C,158
2013,C,12
2014,C,74
2015,C,11
2016,C,55
2017,C,100
2018,C,22
2019,C,52
2020,C,124
2021,C,14
2022,C,13
1991,C,1
2004,C,22
2005,C,49
2006,C,2
2008,C,11
2010,C,3338
2011,C,1588
2012,C,600
2013,C,552
2014,C,239
2015,C,82
2016,C,365
2017,C,41
2018,C,570
2019,C,109
2020,C,177
2021,C,373
2022,C,1
2008,C,1
2015,C,2
2017,C,2
2019,C,1
2013,C,5
2016,C,1
2018,C,7
2019,C,27
2020,C,14
2021,C,46
1987,C,65
1988,C,4
1989,C,2
1990,C,5
1992,C,1
2000,C,1
2001,C,1
2004,C,35
2005,C,2
2009,C,11
2010,C,57
2011,C,4
2012,C,51
2013,C,24
2014,C,82
2015,C,129
2016,C,95
2017,C,409
2018,C,382
2019,C,203
2020,C,412
2021,C,346
2022,C,5
2008,C,2
2011,C,11
2013,C,27
2014,C,10
2015,C,57
2016,C,66
2017,C,118
2018,C,182
2019,C,271
2020,C,488
2021,C,372
2022,C,1
2014,C,5
2015,C,15
2016,C,7
2017,C,14
2018,C,6
2019,C,35
2020,C,247
2021,C,36
2013,C,3
2015,C,11
2016,C,13
2017,C,19
2018,C,23
2019,C,33
2020,C,28
2021,C,8
2014,D,2
2017,D,2
2019,D,1
2021,D,2
2021,D,1
2018,D,1
2017,D,2
2019,D,1
2020,D,4
2021,D,23
2015,D,31
2016,D,18
2017,D,1
2018,D,5
2020,D,1
2021,D,2
2009,D,1
2010,D,4
2011,D,10
2012,D,15
2013,D,8
2014,D,20
2019,D,3
2020,D,36
2021,D,3
2011,D,8
2014,D,10
2015,D,1
2016,D,42
2018,D,1
2020,D,2
2010,D,20
2012,D,4
2021,D,47
2012,D,2
2018,D,1
2020,D,9
2021,D,16
2017,D,12
2018,D,13
2010,D,9
2011,D,2
2015,D,41
2016,D,2
2021,D,1
1998,D,5
2010,D,1
2015,D,6
2016,D,7
2017,D,5
2018,D,9
2019,D,12
2020,D,1
2021,D,6
2022,D,1
2003,D,3
2020,D,1
2018,D,2
2020,D,5
2021,D,20
1991,A,7
2009,A,12
2011,A,22
2012,A,59
2013,A,38
2014,A,74
2015,A,171
2016,A,148
2017,A,72
2018,A,124
2019,A,83
2020,A,92
2021,A,87
2022,A,2
1932,B,1
1937,B,1
1949,B,1
1952,B,1
1953,B,1
1954,B,1
1955,B,1
1966,B,3
1991,B,2
1994,B,1
1998,B,1
2002,B,123
2006,B,1
2007,B,1
2010,B,5
2011,B,44
2012,B,15
2013,B,21
2014,B,84
2015,B,250
2016,B,29
2017,B,140
2018,B,67
2019,B,86
2020,B,149
2021,B,117
2022,B,3
2021,B,3
2014,B,1
2009,B,36
2010,B,110
2011,B,168
2012,B,306
2013,B,367
2014,B,226
2015,B,289
2016,B,471
2017,B,686
2018,B,208
2019,B,176
2016,B,2
2020,B,5
1995,C,1
2009,C,1
2010,C,5
2011,C,20
2013,C,6
2014,C,19
2015,C,4
2016,C,13
2017,C,14
2018,C,5
2019,C,72
2020,C,17
2021,C,33
2022,C,2
1998,C,11
1999,C,122
2000,C,89
2001,C,163
2002,C,57
2003,C,59
2004,C,70
2005,C,92
2006,C,79
2007,C,114
2008,C,66
2009,C,33
2011,C,2
2012,C,4
2013,C,4
2014,C,2
2015,C,4
2016,C,8
2017,C,35
2019,C,19
2020,C,17
2021,C,56
2017,C,1
1932,C,3
1933,C,5
1934,C,2
1935,C,6
1936,C,2
1938,C,1
1951,C,1
1952,C,1
1953,C,3
1954,C,2
1955,C,3
1956,C,3
1957,C,1
1958,C,2
1959,C,1
1960,C,1
1961,C,1
1962,C,3
1963,C,3
1964,C,1
1976,C,1
1977,C,1
1985,C,1
1987,C,1
2012,C,26
2014,C,35
2015,C,41
2017,C,5
2018,C,54
2019,C,13
2020,C,3
2021,C,12
1998,C,9
1999,C,23
2001,C,77
2002,C,7
2004,C,22
2008,C,60
2009,C,52
2014,C,2
1935,C,7
1939,C,1
1940,C,2
1955,C,1
1956,C,5
2015,C,1
2017,C,7
2018,C,18
1971,D,3
2002,D,99
2003,D,8
2006,D,32
2010,D,7
2011,D,196
2012,D,16
2014,D,21
2015,D,764
2016,D,596
2017,D,334
2018,D,394
2019,D,192
2020,D,101
2021,D,49
2014,D,7
2015,D,14
2016,D,33
2017,D,3
2018,D,10
2021,D,1
2021,A,15
2008,A,13
2009,A,16
2011,A,1
2013,A,1
2015,A,8
2016,A,29
2017,A,43
2018,A,189
2019,A,44
2020,A,1
2021,A,96
2022,A,1
1981,A,1
2007,A,1
2017,A,1
2020,A,1
2021,A,22
2012,B,32
2013,B,4
2014,B,3
2017,B,75
2018,B,14
2019,B,180
2020,B,66
2021,B,12
2022,B,1
2018,B,1
2019,B,50
2020,B,23
2021,B,11
2018,B,12
2021,B,29
2019,B,2
2020,B,26
2015,B,13
2016,B,11
2018,B,11
2019,B,1
2020,B,14
2021,B,104
2015,B,11
2017,B,6
2018,B,9
2019,B,2
2020,B,1
2021,B,1
2020,C,8
2021,C,10
2018,C,14
2013,C,3
2014,C,135
2016,C,2
2017,C,13
2018,C,207
2019,C,15
2020,C,143
2021,C,80
2022,C,3
2020,C,2
2012,C,1
2014,C,1
2020,C,2
2021,C,15
2011,C,6
2015,C,6
2016,C,10
2017,C,14
2018,C,82
2019,C,5
2020,C,23
2021,C,90
2022,C,1
2017,C,5
2019,C,12
2020,C,2
2021,C,28
2010,C,1
2021,C,36
2021,C,3
2014,C,6
2017,C,11
2019,C,3
2020,C,23
2021,C,5
2016,C,232
2017,C,649
2018,C,606
2019,C,1606
2020,C,308
2021,C,253
2018,C,4
2019,C,1
2017,C,6
2021,C,1
2021,C,9
2016,C,12
2013,C,5
2014,C,1
2015,C,2
2018,C,9
2019,C,3
2020,C,11
2021,C,58
2022,C,2
1969,C,1
1974,C,1
1990,C,14
1994,C,3
2008,C,1
2012,C,25
2013,C,127
2014,C,66
2015,C,20
2016,C,58
2018,C,66
2019,C,25
2020,C,28
2021,C,34
2021,C,38
2019,C,2
2020,C,171
2021,C,815
1977,C,17
2009,C,10
2015,C,1
2016,C,7
2017,C,1
2018,C,39
2019,C,34
2020,C,44
2021,C,140
2022,C,2
2016,C,1
2017,C,4
2019,C,1
2021,C,5
1977,D,1
1984,D,1
2015,D,2
2017,D,3
2018,D,2
2019,D,2
2021,D,5
2018,D,1
2019,D,28
2021,D,8
2017,D,3
2018,D,1
2019,D,1
2020,D,8
2021,D,1
2020,D,1
2021,D,3
2018,D,5
2014,A,43
2015,A,2
2016,A,82
2017,A,19
2018,A,15
2019,A,10
2020,A,55
2021,A,38
2021,A,5
1999,A,8
2004,A,6
2006,A,13
2015,A,2
2016,A,1
2020,A,49
2022,A,1
1959,A,1
1960,A,7
1965,A,34
1966,A,23
1967,A,4
1968,A,1
1970,A,2
1977,A,1
1978,A,15
1979,A,1
1991,A,2
2001,A,4
2005,A,1
2009,A,6
2010,A,50
2011,A,46
2012,A,15
2013,A,19
2014,A,12
2015,A,46
2016,A,39
2017,A,108
2018,A,59
2019,A,202
2020,A,209
2021,A,268
2022,A,2
2015,B,2
2019,B,19
2021,B,4
2021,B,9
1970,B,2
1972,B,2
1976,B,22
1978,B,13
1992,B,1
2005,B,4
2009,B,3
2010,B,6
2011,B,4
2012,B,68
2013,B,145
2014,B,27
2015,B,38
2016,B,13
2017,B,24
2018,B,109
2019,B,105
2020,B,240
2021,B,55
1974,B,5
1975,B,2
1976,B,2
1977,B,1
1979,B,1
2007,B,1
2008,B,4
2011,B,15
2012,B,14
2013,B,40
2014,B,803
2015,B,362
2016,B,281
2017,B,195
2018,B,480
2019,B,710
2020,B,231
2021,B,455
2009,B,3
2011,B,1
2012,B,2
2014,B,3
2016,B,24
2017,B,117
2018,B,67
2019,B,63
2020,B,449
2021,B,114
1933,B,1
1940,B,9
1946,B,1
1953,B,1
1958,B,237
1959,B,634
1960,B,180
1961,B,788
1962,B,711
1963,B,951
1964,B,1658
1965,B,1017
1966,B,606
1967,B,22
1968,B,30
1970,B,1
1972,B,27
1973,B,11
1974,B,2
1976,B,1
1977,B,5
1978,B,22
1979,B,3
1980,B,1
1981,B,15
1982,B,2
1983,B,95
1984,B,4
1988,B,1
1990,B,2
1992,B,1
1999,B,271
2004,B,13
2005,B,44
2006,B,109
2007,B,65
2008,B,48
2009,B,32
2010,B,66
2011,B,2126
2012,B,1017
2013,B,238
2014,B,234
2015,B,128
2016,B,60
2017,B,205
2018,B,462
2019,B,429
2020,B,886
2021,B,540
2022,B,68
2009,B,1
2010,B,5
2011,B,5
2012,B,20
2013,B,7
2014,B,11
2015,B,1
2017,B,8
2018,B,12
2019,B,21
2020,B,64
2021,B,39
1953,B,2
1959,B,1
1965,B,4
1999,B,1
2005,B,1
2006,B,11
2007,B,1
2008,B,4
2009,B,50
2010,B,4
2011,B,8
2012,B,157
2013,B,260
2014,B,383
2015,B,73
2016,B,39
2017,B,33
2018,B,112
2019,B,300
2020,B,223
2021,B,142
2022,B,3
2018,B,80
2019,B,2
2021,B,1
1961,C,1
1966,C,1
1967,C,12
1968,C,91
1969,C,22
1970,C,3
1972,C,26
1973,C,75
1974,C,64
1975,C,66
1976,C,233
1977,C,107
1978,C,132
1979,C,45
1980,C,1
1982,C,3
1983,C,31
1985,C,2
1987,C,1
1993,C,63
1994,C,33
1997,C,1
1998,C,26
2000,C,17
2001,C,71
2002,C,121
2003,C,65
2004,C,65
2005,C,106
2006,C,102
2007,C,54
2008,C,50
2009,C,204
2010,C,177
2011,C,89
2012,C,1854
2013,C,672
2014,C,4859
2015,C,3392
2016,C,1886
2017,C,4996
2018,C,2180
2019,C,2798
2020,C,5015
2021,C,1984
2022,C,20
2014,C,3
2021,C,1
1977,C,2
1978,C,7
2010,C,2
2012,C,6
2013,C,3
2014,C,2
2015,C,2
2016,C,5
2017,C,462
2018,C,3
2019,C,58
2020,C,18
2021,C,6
2022,C,3
1975,C,45
1976,C,33
1978,C,34
1979,C,2
1988,C,35
1989,C,56
1990,C,32
1991,C,34
1992,C,34
2006,C,1
2007,C,5
2011,C,3
2012,C,23
2013,C,28
2014,C,23
2015,C,19
2016,C,19
2017,C,17
2018,C,4
2019,C,3
2020,C,31
2021,C,7
2022,C,2
1936,C,3
1938,C,2
1941,C,2
1956,C,1
1957,C,41
1967,C,1
1968,C,4
1969,C,2
1970,C,6
1971,C,2
1974,C,1
1976,C,1
1977,C,9
1979,C,1
1990,C,1
1996,C,1
1998,C,1
1999,C,7
2003,C,1
2004,C,110
2005,C,134
2006,C,347
2007,C,122
2008,C,81
2009,C,89
2010,C,78
2011,C,65
2012,C,13
2013,C,104
2014,C,21
2015,C,18
2016,C,40
2017,C,10
2018,C,6
2019,C,15
2020,C,5
2021,C,38
2013,C,2
2015,C,1
2016,C,9
2017,C,6
2018,C,8
2019,C,2
2020,C,1084
2021,C,4435
1994,C,1
2011,C,8
2012,C,156
2013,C,595
2014,C,1646
2015,C,501
2016,C,378
2017,C,446
2018,C,189
2019,C,273
2020,C,66
2021,C,62
2022,C,20
1968,C,1
1975,C,3
1993,C,1
1998,C,22
1999,C,31
2000,C,36
2001,C,5
2002,C,23
2003,C,11
2004,C,36
2005,C,54
2006,C,171
2007,C,125
2008,C,56
2009,C,62
2010,C,4
2012,C,150
2013,C,16
2014,C,193
2015,C,375
2016,C,417
2017,C,331
2018,C,184
2019,C,494
2020,C,1791
2021,C,1459
2022,C,4
2016,D,9
2017,D,6
2018,D,6
2020,D,3
2019,D,1
2006,D,1
2009,D,1
2012,D,32
2014,D,88
2015,D,39
2016,D,8
2017,D,19
2018,D,59
2019,D,34
2020,D,7
2021,D,4
2022,D,1
2006,D,1
2009,D,1
2011,D,1
2015,D,3
2017,D,8
2018,D,1
2021,D,6
1992,D,2
2011,D,1
2014,D,25
2016,D,1
1995,D,1
1996,D,1
1997,D,5
2001,D,1
2011,D,1
2012,D,1
2014,D,37
2016,D,23
2017,D,28
2018,D,150
2019,D,79
2020,D,323
2021,D,110
2021,D,41
2018,A,1
2019,A,2
2020,A,1
2021,A,3
2020,A,28
2021,A,2
2019,B,1
2021,B,22
1982,B,1
1983,B,4
2020,B,1
2014,B,1
2015,B,1
2017,B,1
1998,B,14
1999,B,59
2000,B,43
2002,B,10
2003,B,43
2005,B,2
2006,B,22
2007,B,25
2008,B,30
2009,B,16
1953,C,4
2011,C,20
2021,C,2
2021,C,14
2008,C,56
2011,C,2
2015,C,12
2020,C,69
2021,C,40
1934,C,1
1938,C,3
1939,C,2
1940,C,2
1941,C,2
1954,C,1
1955,C,4
1957,C,2
1961,C,1
1967,C,33
1977,C,2
1987,C,1
1988,C,1
1992,C,1
2004,C,90
2005,C,24
2006,C,106
2007,C,145
2008,C,44
2009,C,124
2010,C,47
2011,C,250
2012,C,101
2013,C,93
2014,C,102
2015,C,58
2016,C,94
2017,C,39
2018,C,1
2019,C,62
2020,C,37
2021,C,125
1993,C,1
2018,C,1
2013,C,1
2019,C,1
2015,C,7
2017,C,1
2019,D,2
2021,D,1
2013,D,77
2015,D,51
2016,D,22
2017,D,35
2020,D,20
2021,D,2
2015,D,1
2017,D,1
2018,D,1
2020,D,1
2021,D,2
2014,D,1
2015,D,2
2017,D,1
2018,D,2
2019,D,6
2020,D,1
2021,D,2
1982,D,1
1991,D,1
1993,D,8
1998,D,4
2004,D,13
2007,D,30
2008,D,13
2009,D,1
2010,D,94
2011,D,34
2012,D,29
2013,D,315
2014,D,2438
2015,D,1442
2016,D,465
2017,D,579
2018,D,388
2019,D,637
2020,D,878
2021,D,2348
2022,D,3
2011,D,2
2014,D,1
2017,D,23
2019,D,9
2020,D,3
2014,D,1
2014,D,1
2018,D,2
2011,D,5
2017,D,2
2019,D,2
2020,D,2
2021,D,5
2009,A,5
2019,A,7
1976,A,26
1983,A,1
1997,A,3
2021,A,29
2017,A,2
2020,A,2
2021,B,10
2020,B,1
1987,B,3
1970,B,1
2018,B,16
2019,B,38
2020,B,11
2020,B,18
2019,B,1
2013,B,1
2016,B,1
2019,B,201
2020,B,27
2021,B,26
2017,C,10
2018,C,5
2019,C,2
2020,C,1
2021,C,9
2011,C,497
2012,C,1011
2013,C,106
2015,C,4
2016,C,54
2019,C,2
2020,C,50
2021,C,8
2011,C,1
2016,C,1
2019,C,1
2021,C,2
2015,C,39
2013,C,2
2017,C,4
2018,C,2
2020,C,2
2021,C,78
1986,C,2
2012,C,10
2018,C,4
2010,C,23
2011,C,84
2012,C,22
2013,C,1
2014,C,3
2015,C,1
2019,C,5
2020,C,22
2021,C,2
2019,D,1
2018,D,4
1975,D,1
2012,D,1
2016,D,1
2020,D,2
2021,D,1
2015,D,1
2016,D,13
2017,D,1
2018,D,17
2020,D,2
2021,D,1
2000,D,11
2007,D,1
2019,D,3
2021,D,1
2018,D,3
1995,A,1
2018,A,10
2017,A,14
1997,A,90
2005,A,1
2019,A,1
2020,A,3
2021,A,2177
1941,B,1
1971,B,6
1972,B,223
1973,B,72
1974,B,1
2014,B,24
2015,B,19
2016,B,177
2017,B,50
2018,B,56
2019,B,11
2020,B,55
2021,B,208
2022,B,5
1952,B,1
1960,B,14
1961,B,1
1963,B,4
2021,B,1
1973,C,1
2013,C,1
2014,C,13
2015,C,36
2016,C,27
2017,C,83
2018,C,62
2019,C,78
2020,C,54
2021,C,112
2002,C,14
2019,C,2
2020,C,1
2021,C,4
1976,C,1
2016,C,5
2018,C,1
2019,C,1
1944,C,1
2004,C,2
2010,C,2
2017,C,17
2019,C,2
2020,C,1
2021,C,11
2020,C,1
1987,C,1
2004,C,1
2016,C,12
2017,C,51
2019,C,4
2021,C,87
1974,C,3
2011,C,19
2014,C,1
2016,C,10
2017,C,1
2020,C,11
2021,C,114
2022,C,2
1999,C,30
2000,C,46
2001,C,39
2008,C,24
2009,C,24
2012,C,1
2018,C,1
2019,C,2
2020,C,5
2021,C,7
2014,C,76
2015,C,21
2016,C,43
2017,C,85
2018,C,55
2019,C,126
2020,C,90
2021,C,46
2005,C,1
2009,C,1
2011,C,8
2012,C,13
2014,C,1
2015,C,3
2016,C,7
2019,C,3
2020,C,1
1970,C,1
2011,D,1
2017,D,2
2021,D,1
2008,D,1
2009,D,24
2010,D,7
2011,D,1
2013,D,3
2014,D,251
2015,D,8
2016,D,19
2017,D,75
2018,D,7
2019,D,134
2020,D,138
2021,D,148
2011,D,1
2016,D,1
2017,D,1
2018,D,6
2020,D,5
2014,D,21
2015,D,14
2016,D,22
2012,A,6
2014,A,373
2015,A,345
2016,A,403
2017,A,180
2018,A,3
2019,A,60
2020,A,94
2021,A,445
2022,A,2
1982,A,1
2003,A,5
2007,A,4
2008,A,37
2009,A,201
2010,A,92
2011,A,41
2012,A,20
2013,A,42
2014,A,47
2015,A,11
2016,A,37
2017,A,32
2018,A,33
2019,A,22
2020,A,42
2021,A,32
1984,A,1
1988,A,4
1995,A,1
1997,A,18
1998,A,6
1999,A,3
2000,A,37
2001,A,13
2002,A,2
2004,A,8
2005,A,8
2007,A,479
2008,A,377
2009,A,1006
2010,A,1119
2011,A,352
2012,A,113
2013,A,353
2014,A,499
2015,A,469
2016,A,514
2017,A,1110
2018,A,969
2019,A,1105
2020,A,7017
2021,A,6489
2022,A,4
1986,A,1
1995,A,2
2002,A,1
2009,A,18
2010,A,47
2011,A,7
2012,A,1
2013,A,4
2014,A,3
2016,A,12
2017,A,37
2018,A,45
2019,A,30
2020,A,37
2021,A,14
1971,B,7
1972,B,385
1973,B,262
1974,B,365
1975,B,393
1976,B,433
1977,B,393
1978,B,441
1979,B,478
1980,B,440
1981,B,447
1982,B,428
1983,B,448
1984,B,492
1985,B,457
1986,B,443
1987,B,502
1988,B,495
1989,B,498
1990,B,489
1991,B,595
1992,B,720
1993,B,721
1994,B,719
1995,B,711
1996,B,768
1997,B,753
1998,B,775
1999,B,816
2000,B,755
2001,B,818
2002,B,803
2003,B,848
2004,B,755
2005,B,767
2006,B,677
2008,B,2
2009,B,18
2010,B,63
2011,B,208
2012,B,9
2013,B,160
2014,B,610
2015,B,2310
2016,B,499
2017,B,493
2018,B,510
2019,B,272
2020,B,2771
2021,B,2714
2022,B,5
1987,B,1
2001,B,1
2010,B,9
2011,B,3
2012,B,15
2013,B,21
2014,B,13
2015,B,1
2016,B,38
2017,B,43
2018,B,33
2019,B,155
2020,B,49
2021,B,155
2022,B,1
2005,B,8
2008,B,20
2009,B,1
2010,B,2
2011,B,5
2012,B,42
2013,B,29
2014,B,29
2015,B,49
2016,B,101
2017,B,96
2018,B,63
2019,B,86
2020,B,352
2021,B,602
2022,B,4
1978,B,4
1979,B,1
1984,B,43
1985,B,4
1988,B,1
1997,B,1
1999,B,29
2001,B,2
2003,B,1
2005,B,3
2007,B,485
2008,B,1348
2009,B,1221
2010,B,1037
2011,B,196
2012,B,81
2013,B,289
2014,B,359
2015,B,258
2016,B,140
2017,B,869
2018,B,1374
2019,B,1171
2020,B,1652
2021,B,1899
2003,B,1
2009,B,7
2012,B,90
2013,B,47
2014,B,81
2015,B,259
2016,B,80
2017,B,938
2018,B,201
2019,B,445
2020,B,2839
2021,B,2334
2009,B,14
2010,B,5
2011,B,1
2012,B,11
2013,B,22
2014,B,373
2015,B,132
2016,B,21
2017,B,30
2018,B,98
2019,B,124
2020,B,138
2021,B,91
2008,B,5
2009,B,9
2017,B,2
2021,B,1
2009,C,104
2010,C,188
2011,C,17
2012,C,92
2013,C,54
2014,C,12
2015,C,2
2016,C,101
2017,C,122
2018,C,24
2019,C,14
2020,C,11
2021,C,57
2015,C,4
2017,C,7
2020,C,8
2021,C,1
2010,C,120
2011,C,9
2012,C,3
2013,C,3
2014,C,7
2016,C,1
2017,C,2
2018,C,9
2019,C,1
2020,C,2
2021,C,3
